Id;Sex;Esc;Atv;Ric;Rend;Tvol;Pre;SG;EP;SM
29;1;0;3;1;1900;2;1;.863085915233009;.244850912801903;-.741383225540381
55;1;2;2;1; ;2;2;.10829177308044;.199880990527387;-1.36369465617777
51;1;2;2;2; ;2;1; ; ;-.490513146284723
53;1;0;3;1;3000;1;1;-.63095282579419;.263723964452832;1.18680356370978
53;1;1;2;1;4500;1;1; ;-.877314815515392; 
29;1;2;3;1;3000;2;2;-.533029864414186;-1.49312205710348; 
39;1;2;3;1;2000;2;1;1.85340104790939;1.48221766193372;-1.50327583457689
47;1;2;2;1;1000;2;1;-1.2728835048005;-2.18877118373559;1.22564731939511
25;1;0;3;1;1000;2;1;-.710053354016544;.205444448751133;-.125779736972472
31;1;2;3;1;2000;2;1; ; ; 
62;1;1;2;1; ;2;1; ; ; 
64;1;2;3;2;13000;2;2; ; ; 
55;1;2;3;1;10000;2;1;1.7139804166066;1.17166336534993;-1.27873908234081
26;1;0;3;1;1000;1;1;-1.19158652434326;-.840063609950829;1.15044034940276
56;1;2;2;1;7000;1;1; ; ; 
33;1;2;2;1;5000;2;1; ; ; 
47;1;2;3;1;2500;1;1;-.241059745526588;-.5815692995307;.780730770599531
27;1;0;2;2; ;2;2;.0642877488187518;.798217659472776;-2.12870853546149
25;1;1;3;2;3000;2;1;.924120041453942;.781826779854515;-.620701568735658
34;1;2;3;1;2500;1;1;-.349558339417341;-.707516151728283;.126559253174402
26;1;1;3;1;1000;2;2;.992178548717813;.890058415998926;-1.31320626777596
24;1;1;1;1;1500;2;2;.114887767971156;.0922583642087798;-.598484250935961
21;1;0;1;2;200;2;2;2.19041455034782;1.17028902255035;-1.04343877735194
30;1;0;2;1;5000;2;2;-.119650803964253; ;.162045663610588
53;1;0;2;1;3000;2;1;-.725246518396725;-.697746830515877;.743950329087726
33;1;2;1;1;2000;2;1; ; ;-.439394220773582
27;1;1;3;1;3500;1;1;-1.2728835048005;-1.21880416104184;1.40546100115488
34;1;2;3;1;2200;2;2;.526449460460905;-.44261685712726;-1.49223043162189
59;1;0;2;1;9000;2;1;-.509867904585471;-.701184110509132;.529169319048944
23;1;0;2;1;2000;2;2;-.300223804213881;-.878431317215475;.663261381059652
31;1;1;3;1;2000;2;2;-1.2728835048005;-.694957554228594;-.582231279662253
23;1;0;1;1; ;2;2;2.91366507203468;2.1144118349647;-2.82050438834718
26;1;1;1;1;1500;2;2; ; ; 
51;1;2;3;2;12000;1;1;-1.2728835048005;-1.79953252782556;.677883396812733
33;1;2;2;1;4500;2;1;-.43140674508371;-.539444017012064;.486066858151177
23;1;1;3;2;3000;2;1; ; ;.0206087592276373
29;1;2;2;1;9000;1;1;.873082983094446;.788215546705475;.923897674607593
23;1;0;1;1; ;1;2; ; ; 
22;1;0;1;1; ;2;2; ; ; 
27;1;0;2;2;1300;2;1;.15554286860265;.237774042015346;-.0999685132947331
63;1;0; ; ;4000;2;1;-1.19158652434326;-1.23752369737614;.462754842874737
21;1;1;3;2;400;1;1;-.797515149771277;-.042833510719149;-1.05423169454812
60;1;0; ; ;4000; ;1;-1.2728835048005;-.018087277671232;1.14320853943268
23;1;2;1;1;1500;2;2;2.10775316496749;1.70761246598283;-1.83125125967955
36;1;2;3;1;2000;1;1; ; ; 
47;1;2;3;1;2200;1;1;1.07230931516434;.806733889911497;1.46470876495557
25;1;2;3;2;1000;1;1;-1.2728835048005;-1.09685258510972;.257854002278355
29;1;2;3;1;2200;2;1;-.797279227385374;-.061619307779334;1.29821468883328
25;1;0;3;1;1000;2;1; ; ;-1.67512992881718
30;1;2;2;1;3500;2;1;-1.2728835048005;-.714645799971274;.343572217644456
30;1;2;3;2;5000;2;2; ; ;-1.89847220246363
 ;1;1;2;1;2000;1;1; ; ; 
30;1;1;1;1;1500;2;2; ; ; 
27;1;1;3;1;2500;2;1;.25268116598219;.65578061579852;.724516709515521
31;1;0;2;1;1700;2;2; ; ; 
21;1;0;3;2;1000;2;2; ; ;.108149982193731
35;1;2;2;1;8000;1;2;.742752618607071; ;.965124257301166
25;1;1;1;1;1500;2;1;.461003705328316;.362340886834059;.162864853109733
30;1;1;3;1;2000;2;1;2.91366507203468;1.89553416252063;-1.71334839303088
 ;1;0;1;1; ;1;1;-.296472671313297;-.841727826471215;.0890424381443602
29;1;1;2;1;1000;2;1;-.0716106256439149;-.318488828899287;-2.28099737968355
62;1;1; ;1;3000;1;1;-1.2728835048005;-1.15766446024913;1.35799513067624
23;1;0;3;1;700;1;1; ; ; 
19;1;0; ;2; ;1;1; ; ; 
36;1;2;2;2;6000;2;2;-.205858224337792; ;1.37300976664489
34;1;0;2;2; ;1;2; ;1.29068655374757;-2.12324388563554
19;1;0; ;2; ;2;2; ;1.64240454596292;-3.03466113911059
19;1;0;1;2;1500;1;2;1.74174381810852;1.18811663517929;-2.15215201568713
21;1;0;1;2;200;2;2;-.554989735326941;-.167157067496119;-.509183536046075
29;1;1;2;1;2000;2;2; ; ; 
22;1;1;3;1;750;1;1; ; ;-.0477417400776121
21;1;0;1;2; ;2;2; ; ; 
28;1;1;3;1;5000;1;1;-1.0533553491211;-1.51665077171762;.345883192881364
27;1;2;1;2;2200;2;2; ; ; 
20;1;0;1;2; ;2;1; ; ;.149796182480684
18;1;0;3;2;850;2;1;-1.2728835048005;-1.01212476216853;1.18049200450348
19;1;0;3; ;700; ;2; ; ;-1.80536943616753
23;1;0;2;2;1000;2;1;-.226133695120229;-.339053891969048;-.364486693950426
